item,itemLabel,position,positionLabel,startDate,endDate
,Ya. Sodbaatar,,Deputy Prime Minister,,
,Luvsannamsrain Oyun-Erdene,,Cabinet Secretary,,
,Ch. Khurelbaatar,,Minister of Finance,,
,Kh. Nyambaatar,,Minister of Justice and Internal Affairs,,
,GÃ¼rsediin Saikhanbayar,,Minister of Defense,,
,B. Munkhbaatar,,Minister of Construction and Urban Development,,
,G. Yondon,,Minister of Mining and Heavy Industry,,
,Lkhagvyn Tsedevsuren,,Minister of Education and Science,,
,Davaajantsangiin Sarangerel,,Minister of Environment and Tourism,,
,S. Chuluun,,Minister of Culture,,
,N. Enkhtaivan,,Minister of Foreign Affairs,,
,L. Khaltar,,Minister of Road and Transport Development,,
,N. Tavinbekh,,Minister of Energy,,
,Z. Mendsaikhan,,"Minister of Food, Agriculture and Light Industry",,
,T. Munkhsaikhan,,Minister of Health,,
,A. Ariunzaya,,Minister of Labor and Social Protection,,
